"firstname","lastname","pitcher_throws","pitch_type","release_speed","plate_location_height","plate_location_side","release_height","release_side","extension","horizontal_break","induced_vertical_break","vertical_break","horizontal_approach_angle","vertical_approach_angle","horizontal_release_angle","vertical_release_angle","spin_rate","spin_axis","spin_efficiency","tilt","date","time"
"Matt","Barragy","Right","FB",87.76652,1.55289,2.32956,3.29501,2.88514,4.08969,23.2822,-1.15802,-41.2203,1.7219459186895,-5.86625084769082,-2.59852262980097,1.76144558274174,2279.617807,272.765647431818,NA,03:00:00,2022-07-22,10:46:16.47
"Matt","Barragy","Right","FB",88.13147,1.39494,-1.86378,3.23686,2.67791,4.88587,23.96565,1.18138,-37.12662,-2.44507565917027,-5.5726278268622,-6.87955024728538,1.31380154683114,2260.087485,267.101928079345,NA,03:00:00,2022-07-22,10:51:58.73
"Matt","Barragy","Right","SI",88.82205,1.55287,0.27713,3.50584,2.60314,5.22592,20.67683,0.49967,-37.22803,-0.3819799714,-5.825053966,-4.29960009,1.219152137,2306.529473,268.4331425,0.9909744091,03:00:00,2022-12-28,14:39:03.84
"Matt","Barragy","Right","SI",86.41193,0.9173,-1.69954,3.38459,2.77413,4.20875,22.43264,-0.20515,-41.45854,-2.466538204,-6.612195155,-6.59382585,1.024257292,2128.396822,270.3205369,0.9803488572,03:00:00,2022-12-28,14:38:41.49
"Matt","Barragy","Right","SI",88.54679,2.47694,0.27976,3.34801,2.66862,4.74644,25.74266,0.36904,-37.8663,0.02724905006,-4.65368072,-4.770038817,2.399163215,2271.03103,268.9053173,0.980644438,03:00:00,2022-12-28,14:38:14.72
"Matt","Barragy","Right","SI",89.34382,2.40839,-3.02731,3.53299,2.51273,4.63785,22.24601,-1.21874,-38.77299,-3.66401671,-4.927981611,-7.733828641,2.195570739,2261.587741,272.7837746,0.9923987219,03:00:00,2022-12-28,14:37:46.35
"Matt","Barragy","Right","FB",89.50778,0.02949,-1.88439,3.72315,2.92782,4.8457,NA,NA,NA,NA,NA,NA,NA,2223.653101,NA,NA,NA,2022-07-22,10:45:36.74
"Matt","Barragy","Right","FB",87.8897,3.87474,-2.52357,3.40213,2.74304,5.0166,24.5449,-0.99112,-39.34686,-3.1789051110625,-3.33614702567656,-7.70217519998325,3.93360827336438,2202.759422,272.237997817011,NA,03:00:00,2022-07-22,10:47:27.51
"Matt","Barragy","Right","FB",88.34923,3.38233,-1.40475,3.3792,2.77565,4.76509,18.74265,-1.67258,-40.68035,-2.53374192587431,-4.05397913599265,-6.03479223118784,3.55485066560811,1977.780043,275.001053189158,NA,03:15:00,2022-07-22,10:47:14.40
"Matt","Barragy","Right","FB",88.55094,2.68935,0.67495,3.35875,2.85953,4.14661,24.43464,3.09227,-35.70003,0.0960007806299944,-4.15999778933809,-4.3935207689197,2.39619648374442,2270.435711,262.712957229002,NA,02:45:00,2022-07-22,10:46:55.44
"Matt","Barragy","Right","SI",88.04708,1.02877,-2.92683,3.35497,2.65723,4.63358,20.17784,2.59685,-36.6881,-3.873227328,-6.042378838,-7.600599699,0.7625702216,2329.089446,262.4105381,0.9933193242,02:45:00,2022-12-28,14:44:10.09
"Matt","Barragy","Right","SI",89.01961,1.78252,0.40776,3.4319,2.63857,4.60931,23.81844,-1.69752,-39.70489,0.007148051353,-5.63992434,-4.425329183,1.739611137,2350.572907,273.8767678,0.9909283517,03:15:00,2022-12-28,14:40:04.14
"Matt","Barragy","Right","FB",88.32978,1.89097,1.09176,3.30406,2.84014,4.36401,24.16598,-0.75203,-38.98376,0.502561164583123,-5.22893320667032,-3.93326382709359,1.91678905186336,2190.77066,271.707111499661,NA,03:00:00,2022-07-22,10:46:31.29
"Matt","Barragy","Right","SI",89.06378,1.42091,-0.55276,3.39245,2.72482,4.61733,22.88663,0.92966,-36.9611,-1.196318473,-5.690011997,-5.437914569,1.160767735,2274.362408,267.4742732,0.9999800744,03:00:00,2022-12-28,14:39:42.53
"Dylan","Bates","Right","FB",86.25636,1.42646,-1.11675,5.03822,1.54103,4.79483,14.24652,15.28191,-23.99802,-1.4111173,-6.2123337,-4.0887427,-1.712156,2226.8518,222.92725,0.90949595,01:30:00,2023-12-29,18:02:47.04
"Dylan","Bates","Right","FB",87.18901,1.32259,-1.59161,5.10937,1.50638,4.86783,15.38925,16.48667,-21.90185,-1.7694026,-6.1958404,-4.6620674,-2.0845306,2287.6663,222.97583,0.96487445,01:30:00,2023-12-29,17:59:42.65
"Dylan","Bates","Right","FB",86.43615,2.33629,0.0849,5.15622,1.45813,5.58284,9.66438,20.69614,-17.38953,-0.5004125,-4.8076916,-2.3538294,-1.4803193,2265.2222,204.99695,0.99999917,12:45:00,2023-12-29,17:59:09.53
"Dylan","Bates","Right","FB",87.30474,2.10823,-0.45649,5.13608,1.62822,5.44251,6.80267,17.96863,-19.37901,-1.560636,-5.204498,-2.8565612,-1.5211507,2239.6238,200.69574,0.96609133,12:45:00,2023-12-29,18:01:05.83
"Dylan","Bates","Right","FB",87.23694,2.84669,0.10449,5.06445,1.71932,5.55534,8.20235,19.02039,-18.27205,-0.9128773,-4.2409854,-2.481773,-0.75028354,2246.0906,203.28094,0.95026773,12:45:00,2023-12-29,18:02:08.99
"Dylan","Bates","Right","FB",86.50927,2.23511,-0.15666,5.24818,1.58235,5.01324,11.92337,18.46105,-20.28598,-0.66295683,-5.244071,-2.9201448,-1.4124409,2247.1921,212.80658,0.88719743,01:00:00,2023-12-29,18:00:01.23
